               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.022946,            0.025261,           0.0014789,             0.89694,             0.74063,             0.80607,              0.3344,             0.04492,            0.053708,            0.011201,            0.005578,            0.005578,            0.005578
                 136,            0.022883,            0.024169,           0.0014818,             0.85725,             0.79499,             0.81425,              0.3441,            0.045491,            0.053825,           0.0097911,            0.005545,            0.005545,            0.005545
                 137,            0.022655,            0.027047,           0.0012068,              0.8202,             0.80096,             0.78748,             0.32614,            0.046027,            0.053772,            0.010204,            0.005512,            0.005512,            0.005512
                 138,            0.022424,             0.02406,           0.0013811,             0.86399,             0.78458,             0.80056,             0.33297,            0.046348,            0.054005,           0.0089605,            0.005479,            0.005479,            0.005479
                 139,            0.022503,            0.024567,           0.0013651,             0.89518,             0.74564,             0.81216,             0.32832,            0.047303,             0.05462,           0.0084684,            0.005446,            0.005446,            0.005446
                 140,            0.022437,            0.025954,           0.0015249,             0.85742,             0.78627,             0.81258,             0.33274,            0.046182,            0.055543,           0.0093932,            0.005413,            0.005413,            0.005413
                 141,            0.022183,            0.024863,           0.0012571,             0.84705,             0.76122,             0.79799,             0.32682,            0.045981,            0.056066,            0.011402,             0.00538,             0.00538,             0.00538
                 142,            0.022308,            0.024461,           0.0014646,             0.83016,             0.79005,             0.79905,             0.33238,            0.045831,            0.056561,            0.011394,            0.005347,            0.005347,            0.005347
                 143,             0.02278,            0.024078,           0.0011914,             0.81945,             0.78559,             0.79762,             0.32576,             0.04605,            0.056093,            0.011323,            0.005314,            0.005314,            0.005314
                 144,            0.021927,            0.023523,           0.0010846,             0.82965,             0.79765,             0.80748,             0.32472,            0.045444,            0.055178,            0.011611,            0.005281,            0.005281,            0.005281
                 145,            0.022682,            0.025851,           0.0014661,             0.84255,             0.77285,             0.80589,             0.32577,            0.047189,            0.054895,            0.011223,            0.005248,            0.005248,            0.005248
                 146,            0.021785,            0.024004,           0.0011532,             0.87111,             0.74926,             0.82082,             0.32873,            0.045854,            0.054301,             0.01086,            0.005215,            0.005215,            0.005215
                 147,            0.021978,            0.023812,           0.0012341,             0.86973,             0.75521,             0.80627,             0.31931,            0.046318,            0.056211,            0.010688,            0.005182,            0.005182,            0.005182
                 148,            0.021229,            0.022891,           0.0015413,             0.86024,             0.76967,             0.81648,             0.33008,            0.046175,             0.05474,            0.011103,            0.005149,            0.005149,            0.005149
                 149,            0.022226,            0.024229,           0.0012832,              0.8007,             0.75861,             0.78119,             0.31421,            0.046232,            0.055449,            0.013489,            0.005116,            0.005116,            0.005116
                 150,            0.021985,            0.025202,           0.0012735,             0.84348,              0.7885,             0.81833,             0.32995,            0.045447,            0.054549,            0.011419,            0.005083,            0.005083,            0.005083
                 151,            0.021705,            0.023458,           0.0015172,             0.84799,             0.75197,             0.80206,             0.32454,            0.046343,            0.054906,            0.011693,             0.00505,             0.00505,             0.00505
                 152,            0.021144,             0.02513,           0.0014652,             0.81383,             0.80618,             0.79954,             0.32253,            0.045838,            0.055766,             0.01239,            0.005017,            0.005017,            0.005017
                 153,            0.021532,            0.024348,            0.001178,             0.83959,             0.79288,             0.81291,             0.33027,            0.045605,            0.055573,            0.012088,            0.004984,            0.004984,            0.004984
                 154,            0.021747,             0.02275,           0.0013272,             0.84561,             0.77552,             0.80188,             0.31993,            0.046725,             0.05689,            0.011095,            0.004951,            0.004951,            0.004951
                 155,            0.021108,            0.023721,           0.0013089,             0.85619,              0.7388,             0.78158,               0.322,            0.045338,            0.057433,             0.01286,            0.004918,            0.004918,            0.004918
                 156,            0.021049,            0.024082,           0.0010679,             0.79192,             0.74884,             0.77917,             0.31698,            0.047006,            0.056385,            0.012926,            0.004885,            0.004885,            0.004885
                 157,            0.022038,            0.022832,           0.0011871,             0.84546,             0.72943,             0.78431,             0.32247,            0.045605,            0.056502,            0.012513,            0.004852,            0.004852,            0.004852
                 158,            0.020953,            0.023197,            0.000948,             0.82101,             0.76714,             0.79368,             0.32591,            0.045239,            0.056213,            0.010637,            0.004819,            0.004819,            0.004819
                 159,            0.021475,            0.023338,           0.0012911,             0.83484,             0.75914,             0.79874,             0.32574,            0.045169,            0.056992,            0.011979,            0.004786,            0.004786,            0.004786
                 160,            0.020874,            0.023526,            0.001086,             0.85176,              0.7521,             0.80342,             0.32551,            0.045556,            0.056238,            0.011072,            0.004753,            0.004753,            0.004753
